2024-04-23 03:58:07.152379
dataset='elec'
prog='iCentral'
max_runs=1000
max_secs=40000

graph size: N=7066, E=100721
Subgraphing: lcc
Graph read time:
0.46365881199017167

Run times:
RS: 887
T: 64.39946908398997
M: 348.59765625

RS: 1579
T: 116.85159383306745
M: 348.84765625

RS: 1322
T: 99.35568306595087
M: 352.25390625

RS: 1374
T: 100.67568237497471
M: 352.25390625

RS: 1311
T: 96.34823348000646
M: 352.25390625

RS: 1376
T: 102.74155963899102
M: 352.25390625

RS: 1586
T: 116.46295731200371
M: 348.0234375

RS: 1489
T: 111.33712136594113
M: 348.14453125

RS: 1479
T: 110.15677835897077
M: 349.14453125

RS: 3372
T: 245.1890241780784
M: 352.16796875

RS: 1338
T: 98.04772977693938
M: 357.74609375

RS: 1027
T: 72.02392318693455
M: 352.85546875

RS: 4068
T: 284.0923593910411
M: 352.85546875

RS: 1289
T: 90.68517025699839
M: 349.53125

RS: 1418
T: 99.201865740004
M: 355.24609375

RS: 3183
T: 221.06462620105594
M: 346.83203125

RS: 1121
T: 79.03393679100554
M: 352.5390625

RS: 2221
T: 154.45200244092848
M: 352.5390625

RS: 2579
T: 181.24617585493252
M: 349.2578125

RS: 1482
T: 104.20761851093266
M: 358.8515625

RS: 1447
T: 101.08534177695401
M: 350.83203125

RS: 1223
T: 85.83378795906901
M: 352.140625

RS: 1586
T: 111.16364369506482
M: 349.703125

RS: 2791
T: 194.4904306260869
M: 349.875

RS: 1748
T: 121.31177585304249
M: 357.69140625

RS: 1140
T: 79.968673210009
M: 357.5

RS: 2739
T: 187.08496851602104
M: 349.1953125

RS: 2739
T: 190.3563689860748
M: 361.453125

RS: 1749
T: 122.71649396710563
M: 350.45703125

RS: 2749
T: 193.9055595450336
M: 354.21484375

RS: 2377
T: 166.39723512006458
M: 353.2265625

RS: 1562
T: 111.03504683508072
M: 353.2265625

RS: 902
T: 63.81579103297554
M: 353.2265625

RS: 1501
T: 107.1058422740316
M: 353.9453125

RS: 2576
T: 180.6623659899924
M: 352.19140625

RS: 1248
T: 87.98416216892656
M: 347.83203125

RS: 1244
T: 86.23972031497397
M: 357.03125

RS: 2456
T: 172.15183282096405
M: 357.03125

RS: 847
T: 59.83167430397589
M: 353.53125

RS: 2299
T: 159.46187754895072
M: 352.62890625

RS: 1124
T: 78.43092092103325
M: 352.62890625

RS: 3097
T: 208.9227748940466
M: 352.19921875

RS: 1911
T: 133.2427205670392
M: 359.4375

RS: 1445
T: 100.79878372710664
M: 353.984375

RS: 1533
T: 106.8080348080257
M: 355.51171875

RS: 1967
T: 138.83435151400045
M: 353.4140625

RS: 1433
T: 101.85867529292591
M: 353.4140625

RS: 1816
T: 128.78916007396765
M: 359.109375

RS: 1747
T: 124.59137703303713
M: 354.91015625

RS: 1317
T: 93.90347927296534
M: 350.61328125

RS: 2159
T: 152.91706198104657
M: 357.39453125

RS: 1637
T: 116.02420422108844
M: 353.17578125

RS: 1080
T: 78.92852698999923
M: 353.24609375

RS: 2070
T: 145.94477711897343
M: 354.0625

RS: 1828
T: 129.25525652000215
M: 349.53515625

RS: 569
T: 40.706822967971675
M: 354.60546875

RS: 1255
T: 88.70135657896753
M: 357.3125

RS: 2342
T: 165.0453687380068
M: 350.79296875

RS: 1554
T: 112.60919442598242
M: 352.88671875

RS: 1984
T: 141.83050096104853
M: 353.01171875

RS: 1483
T: 105.19665558310226
M: 353.01171875

RS: 1570
T: 111.40460868692026
M: 355.03515625

RS: 2361
T: 165.77439768903423
M: 359.70703125

RS: 1146
T: 82.95117653091438
M: 367.68359375

RS: 1598
T: 114.91109045001213
M: 358.40234375

RS: 1259
T: 90.0117173230974
M: 361.77734375

RS: 2487
T: 178.42131050501484
M: 361.52734375

RS: 1730
T: 121.51552765199449
M: 361.52734375

RS: 3328
T: 231.42235376790632
M: 353.97265625

RS: 1257
T: 88.69121643400285
M: 354.84375

RS: 1133
T: 82.05687881098129
M: 355.09375

RS: 1462
T: 108.52864271693397
M: 355.09375

RS: 2225
T: 160.451733910013
M: 355.09375

RS: 1337
T: 98.58473406604026
M: 355.09375

RS: 3136
T: 220.87484557402786
M: 355.09375

RS: 1426
T: 103.99410745105706
M: 355.09375

RS: 1601
T: 117.56584588205442
M: 357.25

RS: 3040
T: 221.450454912032
M: 363.53515625

RS: 1293
T: 94.09069437196013
M: 363.53515625

RS: 3690
T: 263.7064959129784
M: 363.53515625

RS: 1159
T: 81.06391107896343
M: 363.53515625

RS: 1572
T: 112.5926241709385
M: 354.0546875

RS: 1378
T: 97.64172063500155
M: 358.44921875

RS: 1307
T: 92.04197261598893
M: 350.6171875

RS: 1350
T: 94.21041102404706
M: 358.71875

RS: 1549
T: 110.57442633598112
M: 355.484375

RS: 2462
T: 173.96273586107418
M: 358.453125

RS: 1586
T: 113.55851382296532
M: 355.484375

RS: 4572
T: 321.11672320601065
M: 355.484375

RS: 2647
T: 185.2571910440456
M: 349.98828125

RS: 1413
T: 98.73383809195366
M: 357.72265625

RS: 1678
T: 118.34196618001442
M: 349.87890625

RS: 3113
T: 223.32344896905124
M: 355.30859375

RS: 1252
T: 95.21083135902882
M: 359.4375

RS: 1860
T: 138.0173096320359
M: 355.484375

RS: 4125
T: 305.3713409269694
M: 360.96484375

RS: 3085
T: 228.74566199805122
M: 353.83203125

RS: 3048
T: 223.96018117503263
M: 353.83203125

RS: 1612
T: 121.1131329589989
M: 353.83203125

RS: 1838
T: 135.93206762801856
M: 358.8203125

