2024-04-23 05:45:46.068722
dataset='sx-mathoverflow'
prog='iCentral_p'
max_runs=1000
max_secs=40000

graph size: N=24668, E=199851
Subgraphing: lcc
Graph read time:
1.0623298999853432

Run times:
RS: 8863
T: 1021.9518144668546
M: 8661.9921875

RS: 13076
T: 952.9711186869536
M: 8713.5234375

RS: 10204
T: 808.9336443869397
M: 8315.3828125

RS: 0
T: 0.6937930060084909
M: 839.14453125

RS: 5514
T: 139.65796584798954
M: 9623.71875

RS: 9910
T: 947.1813138958532
M: 8054.171875

RS: 12180
T: 1222.0263504812028
M: 8394.86328125

RS: 6475
T: 383.35587177216075
M: 8858.6328125

RS: 15702
T: 1273.1895741659682
M: 8401.8359375

RS: 16918
T: 2247.974404354114
M: 8856.34765625

RS: 0
T: 1.6295236269943416
M: 842.06640625

RS: 6457
T: 298.87048300891183
M: 9584.28515625

RS: 0
T: 1.7663307508919388
M: 843.21484375

RS: 9460
T: 647.7665247288533
M: 9601.65234375

RS: 8366
T: 828.8063818041701
M: 8953.1640625

RS: 7542
T: 243.64777225605212
M: 9096.140625

RS: 5836
T: 112.39741610502824
M: 9294.5078125

RS: 9653
T: 542.4459852029104
M: 9204.84375

RS: 6865
T: 304.2146304270718
M: 8713.48046875

RS: 9793
T: 488.8260378697887
M: 9164.265625

RS: 18163
T: 1093.8806756199338
M: 9651.921875

RS: 10816
T: 1049.5791657681111
M: 9039.30859375

RS: 16678
T: 1884.9503618110903
M: 8692.23046875

RS: 16232
T: 1132.8168845470063
M: 9261.0546875

RS: 15079
T: 1403.4644822420087
M: 8987.6640625

RS: 14774
T: 1873.6381687319372
M: 9351.64453125

RS: 5277
T: 175.7523795820307
M: 9283.9140625

RS: 10380
T: 727.9835096001625
M: 8584.30859375

RS: 12274
T: 776.0881171738729
M: 9366.67578125

RS: 12530
T: 769.558043838013
M: 9322.25

RS: 11554
T: 694.388761311071
M: 7940.54296875

RS: 4850
T: 123.55499064014293
M: 9013.171875

RS: 3233
T: 92.31151883513667
M: 8157.22265625

RS: 5887
T: 201.77018364495598
M: 9013.96484375

RS: 16539
T: 899.593164207181
M: 9273.125

RS: 5967
T: 149.49934900389053
M: 9015.27734375

RS: 0
T: 1.5026126559823751
M: 880.8203125

RS: 5014
T: 126.44460330787115
M: 9015.4921875

RS: 6578
T: 193.0887356349267
M: 9016.9140625

RS: 11738
T: 418.1852232199162
M: 9018.2734375

RS: 8677
T: 324.1809303299524
M: 9710.06640625

RS: 5339
T: 142.6384862740524
M: 9018.078125

RS: 7225
T: 226.39792624511756
M: 9101.5859375

RS: 10350
T: 736.4447473299224
M: 9095.12890625

RS: 5107
T: 112.25846599601209
M: 9019.46875

RS: 15659
T: 1543.3389103398658
M: 9020.046875

RS: 5921
T: 162.8067849399522
M: 9020.046875

RS: 18156
T: 1810.70477403095
M: 9108.67578125

RS: 9074
T: 638.9369749710895
M: 9761.109375

RS: 18409
T: 1788.9241052609868
M: 9112.8671875

RS: 7815
