2024-04-24 01:10:32.958151
dataset='chess'
prog='iCentral'
max_runs=1000
max_secs=40000

graph size: N=7115, E=55779
Subgraphing: lcc
Graph read time:
0.20030290982685983

Run times:
RS: 1994
RS: 1994
T: 137.25209862482734
M: 338.609375

RS: 2613
RS: 2613
T: 191.09744780906476
M: 340.046875

RS: 2166
RS: 2166
T: 154.25007182988338
M: 340.1171875

RS: 2601
RS: 2601
T: 196.28371463692747
M: 343.26171875

RS: 2784
RS: 2784
T: 206.74099050206132
M: 343.26953125

RS: 2928
RS: 2928
T: 203.1078147571534
M: 343.26953125

RS: 4168
RS: 4168
T: 305.7160041120369
M: 343.26953125

RS: 4942
RS: 4942
T: 333.5201081119012
M: 343.26953125

RS: 3546
RS: 3546
T: 241.94989398890175
M: 343.26953125

RS: 3411
RS: 3411
T: 241.32502396195196
M: 343.26953125

RS: 1921
RS: 1921
T: 140.40378703502938
M: 343.26953125

RS: 4051
RS: 4051
T: 281.58774384483695
M: 343.26953125

RS: 2143
RS: 2143
T: 157.34024201100692
M: 343.26953125

RS: 2050
RS: 2050
T: 140.16260250890628
M: 343.26953125

RS: 2253
RS: 2253
T: 165.3691464420408
M: 343.26953125

RS: 2324
RS: 2324
T: 172.14147678110749
M: 343.26953125

RS: 2181
RS: 2181
T: 182.18766476307064
M: 343.26953125

RS: 1739
RS: 1739
T: 146.45489898207597
M: 343.26953125

RS: 3791
RS: 3791
T: 318.228820994962
M: 343.26953125

RS: 2209
RS: 2209
T: 185.34882856020704
M: 343.26953125

RS: 2335
RS: 2335
T: 196.3978686069604
M: 348.16015625

RS: 5428
RS: 5428
T: 454.1783877320122
M: 348.16015625

RS: 3846
RS: 3846
T: 322.3801694500726
M: 348.16015625

RS: 4287
RS: 4287
T: 359.031868458027
M: 348.16015625

RS: 4165
RS: 4165
T: 347.72155352309346
M: 348.16015625

RS: 2394
RS: 2394
T: 200.9292668758426
M: 348.16015625

RS: 2510
RS: 2510
T: 211.1532849110663
M: 348.16015625

RS: 2218
RS: 2218
T: 185.64618581486866
M: 348.16015625

RS: 5714
RS: 5714
T: 479.4018477878999
M: 348.16015625

RS: 1954
RS: 1954
T: 163.81398558290675
M: 348.16015625

RS: 1172
RS: 1172
T: 98.87653081701137
M: 348.16015625

RS: 3385
RS: 3385
T: 285.1943067770917
M: 348.1953125

RS: 2062
RS: 2062
T: 173.4649373900611
M: 348.1953125

RS: 1859
RS: 1859
T: 156.06623702310026
M: 348.1953125

RS: 4042
RS: 4042
