2024-04-23 04:10:54.660493
dataset='pajek-erdos'
prog='LeeBCC'
max_runs=1000
max_secs=40000

graph size: N=6927, E=11850
Subgraphing: lcc
Graph read time:
0.1757958149537444

Run times:
RS: 2145
T: 11.699540538014844
M: 322.7265625

RS: 2145
T: 11.453370155999437
M: 327.04296875

RS: 2145
T: 11.455001533031464
M: 327.22265625

RS: 2145
T: 11.516760241007432
M: 327.23828125

RS: 2145
T: 11.486263089813292
M: 327.40625

RS: 2145
T: 11.50982015999034
M: 328.3203125

RS: 2145
T: 11.45687896409072
M: 328.3359375

RS: 2145
T: 11.255486058071256
M: 328.33984375

RS: 2145
T: 11.288645011838526
M: 328.34375

RS: 2145
T: 11.585284975124523
M: 328.35546875

RS: 2145
T: 11.370567495003343
M: 328.36328125

RS: 2145
T: 11.3644733291585
M: 328.36328125

RS: 2145
T: 11.330714861862361
M: 328.36328125

RS: 2145
T: 11.375769132981077
M: 328.37109375

RS: 2145
T: 11.358706165105104
M: 328.37109375

RS: 2145
T: 11.418213535100222
M: 328.375

RS: 2145
T: 11.970342649146914
M: 328.37890625

RS: 2145
T: 10.701974452007562
M: 328.37890625

RS: 2145
T: 11.908347102813423
M: 328.37890625

RS: 2145
T: 11.587713652988896
M: 328.39453125

RS: 2145
T: 10.697718163020909
M: 328.39453125

RS: 2145
T: 10.648879861924797
M: 328.39453125

RS: 2145
T: 10.645716510014609
M: 332.76171875

RS: 2145
T: 10.374594110995531
M: 332.7734375

RS: 2145
T: 10.355660284869373
M: 332.7734375

RS: 2145
T: 10.277183058904484
M: 332.7734375

RS: 2145
T: 10.314344573998824
M: 332.7734375

RS: 2145
T: 10.365146270021796
M: 332.7734375

RS: 2145
T: 10.306874476838857
M: 332.7734375

RS: 2145
T: 10.384028622182086
M: 332.7734375

RS: 2145
T: 10.407255886122584
M: 332.7734375

RS: 2145
T: 10.542605840833858
M: 332.7734375

RS: 2145
T: 10.43309794110246
M: 332.7734375

RS: 2145
T: 10.425144612090662
M: 332.7734375

RS: 2145
T: 10.422888754867017
M: 332.7734375

RS: 2145
T: 10.428141509881243
M: 332.7734375

RS: 2145
T: 10.419842069037259
M: 332.7734375

RS: 2145
T: 10.33401949191466
M: 332.7734375

RS: 2145
T: 10.418855456169695
M: 332.7734375

RS: 2145
T: 10.355580308940262
M: 332.7734375

RS: 2145
T: 10.435117779998109
M: 332.7734375

RS: 2145
T: 10.445600657956675
M: 332.7734375

RS: 2145
T: 10.43029523291625
M: 332.7734375

RS: 2145
T: 10.400636611972004
M: 332.7734375

RS: 2145
T: 10.337094601010904
M: 332.7734375

RS: 2145
T: 10.311521457042545
M: 332.7734375

RS: 2145
T: 10.26121647306718
M: 332.7734375

