2024-04-24 01:10:31.547514
dataset='wikispeedia'
prog='iCentral_p'
max_runs=1000
max_secs=40000

graph size: N=4179, E=50500
Subgraphing: lcc
Graph read time:
0.4842927101999521

Run times:
RS: 1394
T: 3.3834553752094507
M: 4916.3828125

RS: 1575
T: 4.777430387912318
M: 6180.75

RS: 1842
T: 5.357394945109263
M: 6339.0625

RS: 1266
T: 3.899201659951359
M: 6272.96484375

RS: 2520
T: 6.678020486840978
M: 6423.69140625

RS: 2008
T: 5.68169319909066
M: 6422.37109375

RS: 2507
T: 7.488348284037784
M: 6417.08203125

RS: 3379
T: 9.147849757922813
M: 6438.6015625

RS: 1671
T: 4.574125959072262
M: 6421.5078125

RS: 2095
T: 5.540978341829032
M: 6447.53515625

RS: 3059
T: 8.390797442058101
M: 6446.421875

RS: 1520
T: 4.297532895114273
M: 6547.71875

RS: 1151
T: 3.404512143926695
M: 6548.34375

RS: 2646
T: 7.324559071101248
M: 6558.1640625

RS: 2325
T: 6.864053311059251
M: 6558.7734375

RS: 1010
T: 3.0754960800986737
M: 6648.21484375

RS: 1483
T: 4.240490889176726
M: 6647.4765625

RS: 2134
T: 6.252585313981399
M: 6656.796875

RS: 1550
T: 4.489955357043073
M: 6656.53515625

RS: 1524
T: 4.405353388981894
M: 6683.9140625

RS: 1792
T: 5.130967149045318
M: 6683.59375

RS: 2573
T: 6.914701099041849
M: 6693.2734375

RS: 832
T: 3.1723904081154615
M: 6692.5078125

RS: 3088
T: 8.474381322041154
M: 6691.1640625

RS: 1269
T: 4.015237750951201
M: 6684.14453125

RS: 3804
T: 10.642945599975064
M: 6697.35546875

RS: 2119
T: 5.796322089852765
M: 6690.0

RS: 1537
T: 4.489063737913966
M: 6686.6484375

RS: 994
T: 3.113296546973288
M: 6686.05859375

RS: 2010
T: 5.92863782402128
M: 6695.640625

RS: 1631
T: 4.713970871875063
M: 6686.609375

RS: 1288
T: 3.5654172808863223
M: 6686.99609375

RS: 1694
T: 5.142445425037295
M: 6694.171875

RS: 981
T: 3.297287062043324
M: 6695.29296875

RS: 996
T: 3.0857502941507846
M: 6686.46484375

RS: 2461
T: 6.83255742280744
M: 6695.47265625

RS: 1482
T: 4.378005662001669
M: 6696.1640625

RS: 1119
T: 3.6194068589247763
M: 6696.07421875

RS: 2455
T: 6.919618235900998
M: 6693.81640625

RS: 1519
