2024-04-29 14:45:53.506721
dataset='elec'
max_runs=400
max_secs=40000
cores=16

graph size: N=7066, E=100667
Subgraphing: lcc
Graph read time:
0.33899332606233656

Current memory usage:
M: 195.66796875
Run times:
RS: 1691
T: 8.452297196956351

RS: 2164
T: 10.977494451915845

RS: 2395
T: 12.932322926120833

RS: 1330
T: 7.5780771530698985

RS: 1373
T: 8.1459147578571

RS: 1144
T: 5.917754010064527

RS: 1705
T: 9.922211147844791

RS: 2786
T: 14.088736050063744

RS: 1255
T: 6.632525819120929

RS: 987
T: 6.455443157814443

RS: 787
T: 4.965526052983478

RS: 1276
T: 7.677344945026562

RS: 1236
T: 7.069044743897393

RS: 4068
T: 21.632255306933075

RS: 1718
T: 8.91220063297078

RS: 1289
T: 7.011092005064711

RS: 1418
T: 7.699322571977973

RS: 3212
T: 16.004635084187612

RS: 1246
T: 6.972177819116041

RS: 2564
T: 12.918504547094926

RS: 2932
T: 15.30167665402405

RS: 1119
T: 5.813908172072843

RS: 1447
T: 7.449839268112555

RS: 1367
T: 7.638791837031022

RS: 1708
T: 8.670749489916489

RS: 2843
T: 14.331287417095155

RS: 2068
T: 10.176202157977968

RS: 1763
T: 9.298713074997067

RS: 1564
T: 8.232938011875376

RS: 1195
T: 6.293966968078166

RS: 1891
T: 9.833993453998119

RS: 1927
T: 9.753874961985275

RS: 2813
T: 14.010902458103374

RS: 1626
T: 8.930862376000732

RS: 902
T: 5.657010236987844

RS: 1659
T: 8.758057978004217

RS: 3108
T: 14.790278255008161

RS: 1145
T: 6.0455972768832

RS: 1591
T: 8.0137529540807

RS: 1813
T: 9.223698469111696

RS: 1037
T: 5.469738981919363

RS: 2668
T: 13.507502716965973

RS: 2899
T: 14.404933021171018

RS: 1536
T: 7.956829308066517

RS: 1230
T: 6.854756477056071

RS: 1622
T: 8.433412881102413

RS: 808
T: 5.070511878002435

RS: 1731
T: 8.924738105852157

RS: 1348
T: 7.6965097261127084

RS: 1839
T: 9.742449874989688

RS: 1447
T: 7.718674537958577

RS: 1257
T: 7.004234798019752

RS: 1637
T: 7.837485222145915

RS: 2614
T: 13.297228035051376

RS: 1909
T: 9.890377239091322

RS: 2939
T: 14.4121892710682

RS: 1589
T: 8.212695728987455

RS: 970
T: 5.141164094908163

RS: 1368
T: 7.577275855001062

RS: 2697
T: 12.870281056966633

RS: 1458
T: 7.9165539520327

RS: 1477
T: 7.9709891700185835

RS: 970
T: 4.915728466119617

RS: 2672
T: 13.316661017015576

RS: 4221
T: 20.310751206008717

RS: 2755
